,cntry,idno,netustm,lvpntyr,ppltrst,vote,prtvtdfi,gndr,yrbrn,edlvdfi,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
0,FI,19,120.0,1968.0,7,1.0,1.0,1,1947,8.0,10.0,,,,,81.0
1,FI,57,240.0,2008.0,8,1.0,1.0,1,1989,11.0,18.0,30.0,30.0,1800.0,,51.0
2,FI,86,60.0,1957.0,7,1.0,11.0,1,1941,2.0,8.0,38.0,38.0,,,44.0
3,FI,120,240.0,1988.0,7,1.0,11.0,1,1972,11.0,21.0,39.0,39.0,2500.0,,42.0
4,FI,164,570.0,1979.0,9,1.0,1.0,2,1961,5.0,11.0,37.0,38.0,2450.0,,
5,FI,238,240.0,1998.0,9,1.0,4.0,2,1979,9.0,17.0,35.0,35.0,2000.0,,64.0
6,FI,314,150.0,0.0,8,3.0,,2,1999,3.0,12.0,5.0,5.0,450.0,,57.0
7,FI,326,300.0,1991.0,7,1.0,11.0,2,1975,5.0,15.0,38.0,42.0,6000.0,,43.0
8,FI,360,,1946.0,8,1.0,11.0,2,1928,5.0,13.0,40.0,40.0,,,50.0
9,FI,362,,1973.0,5,1.0,11.0,1,1953,2.0,8.0,40.0,40.0,,,72.0
10,FI,387,120.0,2002.0,9,1.0,3.0,1,1982,9.0,17.0,38.0,45.0,,,64.0
11,FI,517,60.0,1992.0,10,1.0,5.0,1,1973,12.0,17.0,37.0,43.0,9500.0,,60.0
12,FI,546,45.0,1967.0,8,1.0,11.0,2,1945,8.0,14.0,38.0,38.0,,,
13,FI,552,60.0,1984.0,9,1.0,1.0,1,1964,5.0,14.0,50.0,50.0,3000.0,4000.0,52.0
14,FI,619,60.0,2014.0,8,1.0,3.0,1,1994,5.0,12.0,48.0,48.0,3600.0,,46.0
15,FI,634,120.0,2007.0,6,1.0,3.0,2,1992,3.0,10.0,30.0,39.0,2200.0,2500.0,57.0
16,FI,649,120.0,1994.0,7,1.0,1.0,1,1972,9.0,16.0,50.0,50.0,4000.0,,48.0
17,FI,674,,1959.0,9,1.0,1.0,2,1937,8.0,14.0,38.0,38.0,,,71.0
18,FI,696,600.0,2015.0,8,1.0,10.0,1,1995,4.0,16.0,15.0,15.0,1300.0,800.0,65.0
19,FI,744,120.0,1986.0,8,1.0,1.0,2,1956,10.0,20.0,20.0,30.0,15000.0,30000.0,59.0
20,FI,750,60.0,1968.0,8,2.0,,2,1952,5.0,12.0,37.0,37.0,,,71.0
21,FI,759,90.0,1975.0,7,1.0,,1,1959,8.0,15.0,50.0,50.0,,,47.0
22,FI,849,120.0,1981.0,8,1.0,1.0,1,1960,10.0,16.0,40.0,50.0,5800.0,,60.0
23,FI,852,120.0,2015.0,8,2.0,,1,1989,5.0,14.0,40.0,40.0,2500.0,3000.0,49.0
24,FI,862,,1953.0,9,1.0,3.0,2,1932,3.0,9.0,38.0,38.0,,,91.0
25,FI,868,240.0,1995.0,5,1.0,1.0,1,1975,9.0,16.0,38.0,38.0,2500.0,3000.0,57.0
26,FI,887,120.0,0.0,5,1.0,,1,1953,2.0,8.0,40.0,40.0,,,
27,FI,893,120.0,2006.0,6,1.0,10.0,2,1986,9.0,17.0,38.0,38.0,,,52.0
28,FI,923,210.0,2012.0,8,1.0,1.0,1,1993,5.0,15.0,40.0,50.0,2850.0,,59.0
29,FI,973,150.0,1978.0,8,1.0,3.0,1,1959,9.0,12.0,38.0,42.0,7200.0,,41.0
30,FI,987,120.0,1966.0,9,1.0,2.0,2,1948,5.0,11.0,40.0,40.0,,,63.0
31,FI,1064,240.0,,7,1.0,10.0,2,1992,4.0,14.0,,,,,75.0
